timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T19:25:43+03:00,113.1,performance,emergency,88.8,74.0,174.5,,,89.3,72.9,,89.3,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,238,5600,5800,waiting for critical release
2026-09-06T19:25:44+03:00,114.2,performance,emergency,88.2,74.0,174.4,,,89.2,73.0,,89.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,250,5900,5800,waiting for critical release
2026-09-06T19:25:45+03:00,115.3,performance,emergency,88.0,73.0,174.4,,,89.2,73.0,,89.2,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:46+03:00,116.4,performance,emergency,87.6,73.0,174.4,,,89.1,73.0,,89.1,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:47+03:00,117.5,performance,emergency,88.2,73.0,174.4,,,89.0,73.0,,89.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:48+03:00,118.6,performance,emergency,87.6,73.0,174.4,,,89.0,73.0,,89.0,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:49+03:00,119.7,performance,emergency,87.2,73.0,174.4,,,88.9,73.0,,88.9,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:50+03:00,120.8,performance,emergency,87.1,73.0,174.4,,,88.8,73.0,,88.8,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:51+03:00,121.9,performance,emergency,87.2,73.0,174.4,,,88.7,73.0,,88.7,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:52+03:00,123.0,performance,emergency,87.4,73.0,174.4,,,88.7,73.0,,88.7,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
